piacentino,1
brieve,1
distinto,1
nelqvale,1
ragiona,2
decide,1
ben,1
quistioni,1
sanza,1
molta,1
leggerà,1
pieno,1
leggendolo,1
considererà,1
bene,1
diligentemente,1
nova,1
armi,1
lvso,1
caualleresche,1
marcantantonio,1
pagano,1
gentilhvomo,2
napolitano,1
pigna,2
donno,2
alphonso,2
este,2
prencipe,2
honore,4
possevini,3
mantovano,3
imperatvri,1
principi,14
gentilhomini,2
tucti,2
armigeri,3
continente,3
disfide,3
concordie,2
pace,5
accadenti,3
iudicii,3
exempli,2
authoritate,3
historiographi,2
philosophi,3
ligisti,1
canonisti,3
ecclesiastici,3
dignissima,2
spiriti,2
gentili,2
prencipi,1
gentilhuomini,1
essempli,1
legisti,2
ridvrre,1
linimicitie,1
priuate,1
annibale,1
romei,1
ferrarese,1
ristampati,1
ampliati,1
diligenza,1
corretti,1
schermo,2
dangelo,2
viggiani,1
montone,2
vizani,1
bolognese,1
capitolo,1
dim,1
mercvrio,1
spetioli,1
fermo,1
vero,1
militare,2
duello,1
cõcordie,1
hystoriographi,1
gẽtili,1
domenico,1
scevolini,1
auttorità,1
cosi,2
catolici,1
dimostra,1
lastrologia,1
giudiciaria,1
verissima,1
dannando,1
lusano,1
malamente,1
impongo,1
necessità,1
atti,1
humani,1
ordine,1
cavalieri,1
tosone,1
ferdinando,1
cortes,1
expositione,1
singulare,1
noster,1
teresa,1
fondatrice,1
monasteri,1
monache,1
carmeliti,1
scalzi,1
regola,1
svccesse,1
gverra,1
mossa,1
selim,1
ottomano,1
venetiani,1
fino,1
giornata,1
vittoriosa,1
turchi,1
molte,3
diverse,1
saui,1
auttori,1
sermone,1
pvnti,1
accenti,1
vso,1
tanto,1
appresso,2
operetta,1
dilette,1
uole,1
perchi,1
desidera,1
correttamente,1
luna,1
laltra,2
pronvnzia,1
formvlario,1
dittar,1
messiue,1
responsiue,1
chronica,1
romani,1
sebastiano,1
erizzo,1
medaglie,1
antiche,1
particolar,1
dichiaratione,2
riversi,1
monete,1
valvta,1
ridotte,1
costume,1
antico,1
allvso,1
moderno,1
fratri,1
des,1
scrivono,3
ragionan,1
hvomini,1
illustri,1
nove,1
vnà,1
quæstionibus,1
ignatio,1
loiola,1
fondatore,1
compagnia,3
sonetti,2
canzoni,1
triomphi,1
historiati,1
chronologico,1
morigia,1
linstrvmento,1
croce,2
distinta,1
mrpmf,1
cipriano,1
vberti,1
dittionario,1
sve,1
avtorità,1
pistole,1
rima,1
lorenzo,1
medici,1
driadeo,1
riordinate,1
poste,2
alfabeto,1
margine,2
lautorità,1
beneficio,1
predicatori,1
lettori,1
deuoti,1
verbo,1
dve,2
tauole,1
lvna,1
leqvali,2
ragionano,2
inscrittioni,1
santiss,1
sisto,1
pont,1
max,1
lvca,1
horfei,1
fano,1
dissegnate,1
intagliare,1
mostrare,1
grandezze,1
compartimenti,1
spiritali,1
herone,1
alessandrino,1
